Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_Login,Chrome 110.0.0.0,,,2023-02-14 18:57:18,2023-02-14 18:57:50,31.867s,PASSED
,,,,,,,
Test Cases/TC_1.1,Chrome 110.0.0.0,,,2023-02-14 18:57:19,2023-02-14 18:57:34,15.306s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 110.0.0.0,,,2023-02-14 18:57:20,2023-02-14 18:57:30,9.862s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/button-bars-for-login""))",Chrome 110.0.0.0,,,2023-02-14 18:57:30,2023-02-14 18:57:30,0.726s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/button_Login_awal""))",Chrome 110.0.0.0,,,2023-02-14 18:57:30,2023-02-14 18:57:31,1.176s,PASSED
"setText(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/input_Username_username""), ""John Die"")",Chrome 110.0.0.0,,,2023-02-14 18:57:31,2023-02-14 18:57:32,1.001s,PASSED
"setEncryptedText(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/input_Password_password""), ""3Z9vEXbPUsD5eDQOwLR1+w=="")",Chrome 110.0.0.0,,,2023-02-14 18:57:32,2023-02-14 18:57:33,0.688s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/button_Login_dalam""))",Chrome 110.0.0.0,,,2023-02-14 18:57:33,2023-02-14 18:57:34,1.162s,PASSED
,,,,,,,
Test Cases/TC_1.2,Chrome 110.0.0.0,,,2023-02-14 18:57:34,2023-02-14 18:57:50,15.949s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 110.0.0.0,,,2023-02-14 18:57:35,2023-02-14 18:57:44,8.765s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/button-bars-for-login""))",Chrome 110.0.0.0,,,2023-02-14 18:57:44,2023-02-14 18:57:44,0.662s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/button_Login_awal""))",Chrome 110.0.0.0,,,2023-02-14 18:57:44,2023-02-14 18:57:46,1.198s,PASSED
"setText(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 110.0.0.0,,,2023-02-14 18:57:46,2023-02-14 18:57:47,1.034s,PASSED
"setEncryptedText(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 110.0.0.0,,,2023-02-14 18:57:47,2023-02-14 18:57:47,0.648s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/button_Login_dalam""))",Chrome 110.0.0.0,,,2023-02-14 18:57:47,2023-02-14 18:57:49,1.444s,PASSED
closeBrowser(),Chrome 110.0.0.0,,,2023-02-14 18:57:49,2023-02-14 18:57:50,1.435s,PASSED
