Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_Appointment,Chrome 110.0.0.0,,,2023-02-14 18:56:16,2023-02-14 18:56:54,38.145s,PASSED
,,,,,,,
Test Cases/TC_2.1,Chrome 110.0.0.0,,,2023-02-14 18:56:17,2023-02-14 18:56:36,18.969s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 110.0.0.0,,,2023-02-14 18:56:17,2023-02-14 18:56:28,10.709s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/button-bars-for-login""))",Chrome 110.0.0.0,,,2023-02-14 18:56:28,2023-02-14 18:56:29,0.817s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/button_Login_awal""))",Chrome 110.0.0.0,,,2023-02-14 18:56:29,2023-02-14 18:56:30,1.121s,PASSED
"setText(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 110.0.0.0,,,2023-02-14 18:56:30,2023-02-14 18:56:31,1.103s,PASSED
"setEncryptedText(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 110.0.0.0,,,2023-02-14 18:56:31,2023-02-14 18:56:32,0.729s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/button_Login_dalam""))",Chrome 110.0.0.0,,,2023-02-14 18:56:32,2023-02-14 18:56:33,1.290s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center                            Hongkong CURA Healthcare Center                            Seoul CURA Healthcare Center""))",Chrome 110.0.0.0,,,2023-02-14 18:56:33,2023-02-14 18:56:34,0.590s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospital_readmission""))",Chrome 110.0.0.0,,,2023-02-14 18:56:34,2023-02-14 18:56:34,0.570s,PASSED
"setText(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/textarea_Comment_comment""), ""ok"")",Chrome 110.0.0.0,,,2023-02-14 18:56:34,2023-02-14 18:56:35,0.868s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 110.0.0.0,,,2023-02-14 18:56:35,2023-02-14 18:56:36,0.574s,PASSED
,,,,,,,
Test Cases/TC_2.2,Chrome 110.0.0.0,,,2023-02-14 18:56:36,2023-02-14 18:56:54,18.653s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 110.0.0.0,,,2023-02-14 18:56:37,2023-02-14 18:56:45,7.925s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/button-bars-for-login""))",Chrome 110.0.0.0,,,2023-02-14 18:56:45,2023-02-14 18:56:46,0.643s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/button_Login_awal""))",Chrome 110.0.0.0,,,2023-02-14 18:56:46,2023-02-14 18:56:47,0.975s,PASSED
"setText(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 110.0.0.0,,,2023-02-14 18:56:47,2023-02-14 18:56:48,0.959s,PASSED
"setEncryptedText(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 110.0.0.0,,,2023-02-14 18:56:48,2023-02-14 18:56:48,0.701s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/button_Login_dalam""))",Chrome 110.0.0.0,,,2023-02-14 18:56:48,2023-02-14 18:56:49,1.218s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center                            Hongkong CURA Healthcare Center                            Seoul CURA Healthcare Center""))",Chrome 110.0.0.0,,,2023-02-14 18:56:49,2023-02-14 18:56:50,0.527s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospital_readmission""))",Chrome 110.0.0.0,,,2023-02-14 18:56:50,2023-02-14 18:56:50,0.538s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Chrome 110.0.0.0,,,2023-02-14 18:56:50,2023-02-14 18:56:51,0.485s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/pilih tanggal""))",Chrome 110.0.0.0,,,2023-02-14 18:56:51,2023-02-14 18:56:52,0.546s,PASSED
"setText(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/textarea_Comment_comment""), ""ok"")",Chrome 110.0.0.0,,,2023-02-14 18:56:52,2023-02-14 18:56:52,0.863s,PASSED
"click(findTestObject(""Login-Appointment/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 110.0.0.0,,,2023-02-14 18:56:52,2023-02-14 18:56:53,0.948s,PASSED
closeBrowser(),Chrome 110.0.0.0,,,2023-02-14 18:56:53,2023-02-14 18:56:54,0.913s,PASSED
